Fecha,Tiempo en min,Paginas,Genero,Titulo,Autor,Goodread,,
22/3/2022,30,12,Ficcion,The Chronicles of Narnia Complete edition,C.S Lewis,781271,,
23/3/2022,30,15,Ficcion,The Chronicles of Narnia Complete edition,C.S Lewis,781271,,
24/3/2022,0,0,,,,,,
25/3/2022,0,0,,,,,,
26/3/2022,120,60,Teologia,Mere christianity,C.S Lewis,801500,122,2
27/3/2022,120,62,Teologia,Mere christianity,C.S Lewis,801500,,
28/3/2022,0,0,,,,,,
29/3/2022,0,0,,,,,,
30/3/2022,0,0,,,,,,
31/3/2022,0,0,,,,,,
1/4/2022,0,0,,,,,,
